date,temperature_mean,temperature_max,temperature_min,rainfall,district
2021-02-08,24.42,28.22,20.93,5.99,Balaka
2021-02-09,24.23,28.79,20.72,3.37,Balaka
2021-02-10,23.82,27.97,20.56,9.85,Balaka
2021-02-11,23.9,27.75,20.53,12.66,Balaka
2021-02-12,24.1,29.2,20.14,26.67,Balaka
2021-02-13,24.26,28.89,20.8,6.36,Balaka
2021-02-14,24.51,28.87,20.99,5.61,Balaka
2021-02-15,23.77,27.39,21.36,14.69,Balaka
2021-02-16,24.92,29.92,21.53,1.49,Balaka
2021-02-17,24.38,28.24,20.57,39.67,Balaka
2021-02-18,23.81,26.42,21.9,14.0,Balaka
2021-02-19,24.48,28.17,21.47,3.54,Balaka
2021-02-20,23.91,27.03,21.45,30.81,Balaka
2021-02-21,23.61,28.11,20.27,9.76,Balaka
2021-02-22,23.4,27.22,20.54,11.49,Balaka
2021-02-23,22.83,27.05,19.71,10.59,Balaka
2021-02-24,23.36,27.12,19.78,5.39,Balaka
2021-02-25,23.87,28.21,19.09,2.47,Balaka
2021-02-26,24.2,28.37,20.27,9.43,Balaka
2021-02-27,22.48,25.03,20.41,9.32,Balaka
2021-02-28,22.62,26.55,19.57,35.81,Balaka
2021-03-01,21.39,25.37,19.11,22.04,Balaka
2021-03-02,21.8,26.06,18.89,2.88,Balaka
2021-03-03,22.82,27.09,19.56,4.07,Balaka
2021-03-04,23.81,28.28,20.58,4.02,Balaka
2021-03-05,22.92,26.76,20.67,4.99,Balaka
2021-03-06,22.71,26.78,19.63,3.45,Balaka
2021-03-07,22.08,25.78,19.68,3.79,Balaka
2021-03-08,21.81,26.31,18.15,3.32,Balaka
2021-03-09,22.35,26.54,18.14,19.57,Balaka
2021-03-10,22.14,24.54,19.91,49.9,Balaka
2021-03-11,23.54,27.76,19.94,2.18,Balaka
2021-03-12,23.31,26.39,20.23,9.85,Balaka
2021-03-13,22.43,25.19,20.11,10.0,Balaka
2021-03-14,22.52,26.12,19.71,3.63,Balaka
2021-03-15,22.34,26.03,19.66,4.7,Balaka
2021-03-16,22.22,25.85,19.92,3.15,Balaka
2021-03-17,22.52,26.59,19.04,4.87,Balaka
2021-03-18,22.65,26.33,19.74,5.65,Balaka
2021-03-19,23.2,27.39,19.87,16.78,Balaka
2021-03-20,22.21,24.73,20.43,20.58,Balaka
2021-03-21,22.84,26.74,19.68,4.11,Balaka
2021-03-22,22.54,25.56,20.3,14.61,Balaka
2021-03-23,22.26,26.24,19.48,2.84,Balaka
2021-03-24,22.02,26.24,18.73,5.91,Balaka
2021-03-25,21.54,26.18,17.46,2.8,Balaka
2021-03-26,23.16,27.99,18.03,0.3,Balaka
2021-03-27,24.26,28.54,19.61,0.95,Balaka
2021-03-28,21.66,26.54,18.13,4.8,Balaka
2021-03-29,21.04,25.44,18.14,2.41,Balaka
2021-03-30,20.25,24.36,16.8,1.17,Balaka
2021-03-31,19.48,24.02,15.88,0.21,Balaka
2021-04-01,19.72,24.78,14.54,0.06,Balaka
2021-04-02,20.15,25.2,15.49,0.07,Balaka
2021-04-03,21.35,27.08,16.29,0.32,Balaka
2021-04-04,21.41,25.72,18.23,3.02,Balaka
2021-04-05,21.13,26.19,17.3,0.81,Balaka
2021-04-06,20.6,25.79,16.83,0.36,Balaka
2021-04-07,19.28,24.46,14.93,0.19,Balaka
2021-04-08,19.55,24.6,14.71,0.27,Balaka
2021-04-09,19.26,24.57,14.43,0.04,Balaka
2021-04-10,19.77,24.46,15.73,1.16,Balaka
2021-04-11,20.99,25.34,17.59,0.92,Balaka
2021-04-12,20.82,24.95,17.61,0.22,Balaka
2021-04-13,20.96,25.08,17.75,1.36,Balaka
2021-04-14,20.13,25.03,16.46,0.35,Balaka
2021-04-15,19.26,24.74,14.34,0.02,Balaka
2021-04-16,19.16,25.03,14.98,0.01,Balaka
2021-04-17,18.83,24.48,14.59,3.02,Balaka
2021-04-18,17.39,21.98,13.96,0.65,Balaka
2021-04-19,18.31,23.76,13.26,0.3,Balaka
2021-04-20,18.99,23.8,14.77,0.43,Balaka
2021-04-21,19.27,24.27,15.37,0.73,Balaka
2021-04-22,20.64,25.39,17.04,2.9,Balaka
2021-04-23,19.7,25.03,16.16,0.24,Balaka
2021-04-24,19.92,26.13,14.14,0.03,Balaka
2021-04-25,20.85,26.46,16.02,0.06,Balaka
2021-04-26,21.93,26.67,17.9,0.83,Balaka
2021-04-27,21.99,26.91,19.17,0.76,Balaka
2021-04-28,21.99,26.82,17.84,2.95,Balaka
2021-04-29,22.3,26.74,18.92,2.76,Balaka
2021-04-30,22.73,27.56,18.84,3.05,Balaka
2021-05-01,22.87,27.39,19.17,1.02,Balaka
2021-05-02,20.56,24.42,17.27,2.58,Balaka
2021-05-03,18.83,23.37,15.74,0.55,Balaka
2021-05-04,17.37,22.62,12.69,0.07,Balaka
